epoch,epoch_started_at,epoch_finished_at,lr,train_seconds,valid_seconds,epoch_seconds,cumulative_training_seconds,train_loss,train_nrmse,val_loss,val_nrmse,val_ce,val_rmse,train_ce,train_rmse,train_kl,train_wass,train_total
1,2026-06-17T12:56:06Z,2026-06-17T12:56:34Z,0.001,24.17089028097689,3.4836285149212927,27.654540868010372,27.655283562955447,6.288893728840108,0.9790157424729284,5.378246682030814,960.5478619320892,4.991079303196498,0.38716737585408345,5.095253123718054,0.3978801994096665,0.0,0.0,6.288893728840108
2,2026-06-17T12:56:34Z,2026-06-17T12:57:01Z,0.001,24.109020745032467,3.4696757219498977,27.578767551109195,55.264662452973425,6.223865440913609,0.9637163616506179,5.356589140210833,955.8194061096804,4.971038034984043,0.3855511099100113,5.0518717765808105,0.39066455477759954,0.0,0.0,6.223865440913609
3,2026-06-17T12:57:01Z,2026-06-17T12:57:29Z,0.001,24.16745123208966,3.486511292983778,27.654012960963883,82.95029595401138,6.2068295413945,0.9571585743671027,5.345792334420341,950.4642336469636,4.962568644114903,0.38322371287005286,5.039370611411374,0.3891529753094628,0.0,0.0,6.2068295413945
4,2026-06-17T12:57:29Z,2026-06-17T12:57:57Z,0.001,24.15947909897659,3.487043655011803,27.646568559925072,110.62767261697445,6.180733463391155,0.9483570634991458,5.3378553935459685,950.5199724478717,4.9541081496647426,0.3837472604853766,5.0262206006212296,0.3848376221397296,0.0,0.0,6.180733463391155
5,2026-06-17T12:57:57Z,2026-06-17T12:58:24Z,0.001,24.17763617495075,3.490471261087805,27.66813922591973,138.29676131997257,6.161342487854212,0.9422107475958104,5.326875243868146,942.9579225003446,4.946707493918282,0.38016773504870277,5.013646145256198,0.3825654515198299,0.0,0.0,6.161342487854212
6,2026-06-17T12:58:24Z,2026-06-17T12:58:52Z,0.001,24.14765942899976,3.482602771022357,27.63030894799158,165.95952485501766,6.14542716538825,0.9367310442836176,5.322992862973894,941.5513765273671,4.9436504295894075,0.3793424244437899,5.005091537423685,0.3801118845031375,0.0,0.0,6.14542716538825
7,2026-06-17T12:58:52Z,2026-06-17T12:59:20Z,0.001,24.150972048053518,3.483123183948919,27.63414365297649,193.6251712749945,6.141660434048192,0.9349493580803316,5.308790554319109,937.7326638562126,4.931433616365705,0.37735694646835327,5.0019657498314265,0.3798982271937286,0.0,0.0,6.141660434048192
8,2026-06-17T12:59:20Z,2026-06-17T12:59:47Z,0.001,24.172881730017252,3.4479051450034603,27.620834504952654,221.27822555298917,6.127528112761828,0.9295442941926478,5.298687703268868,933.45688075579,4.923558616638184,0.3751291108982904,4.99605807479547,0.37715667810569814,0.0,0.0,6.127528112761828
9,2026-06-17T12:59:47Z,2026-06-17T13:00:15Z,0.001,24.18939940200653,3.467365553951822,27.656811653985642,248.96566453704145,6.121271486995982,0.9268021863325474,5.286095244543893,927.376934911582,4.913368122918265,0.3727270896945681,4.992185096351468,0.37636212467336333,0.0,0.0,6.121271486995982
10,2026-06-17T13:00:15Z,2026-06-17T13:00:43Z,0.001,24.130422735004686,3.45771276706364,27.58817739202641,276.5856851199642,6.108381757930833,0.9220208795289249,5.292742885862078,932.3015563775652,4.917641135624477,0.3751017370394298,4.985019080492915,0.3744542227715862,0.0,0.0,6.108381757930833
